Fabricante;Modelo;Ano;Problema;Causa;Solucao;Orcamento;Categoria do Problema;Gravidade do Problema;Tempo Estimado de Reparo
Volkswagen;X3;2010;Falha no sistema de airbags;Falha no sensor de airbags;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;1421;Sistema de Arrefecimento;Média;1 dia
Mercedes;Focus;2021;Sem energia, bateria descarregada;Amortecedores desgastados;Limpeza do radiador;885;Transmissão;Média;3 dias
Chrysler;C-Class;2019;Superaquecimento do motor;Tubo de escape com vazamento  sensor de oxignio com defeito.;Bobina(s) de ignição substituída(s)/reparada(s)  Bobina(s) de ignição substituída(s) e vela(s) de ignição substituída(s)/reaprendida(s);687;Sistema de Escape;Média;1 dia
Volvo;Sedona;2021;Sem manivela  No inicia;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;1529;Elétrico;Média;4 horas
Mazda;Camry;2020;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Sensores de nvel de combustvel;Troca dos amortecedores;333;Motor;Média;1 dia
Cadillac;ES350;2021;Sem partida  sem fasca;Circuito do ventilador com defeito impedindo que o ventilador esfrie o motor;Troca da bateria;829;Elétrico;Crítica;4 horas
Ford;Ram 1500;2010;Luz do motor acesa;Tubo de escape com vazamento  sensor de oxignio com defeito.;Troca da bomba da direo;305;Suspensão;Crítica;1 dia
Dodge Ram;Cruze;2017;Sem energia, bateria descarregada;Desgaste nas pastilhas de freio;Substituio do sensor de oxignio;1382;Suspensão;Crítica;4 horas
Volvo;Sedona;2019;Luz do motor acesa;Amortecedores desgastados;Bobina(s) de ignição substituída(s)/reparada(s)  Bobina(s) de ignição substituída(s) e vela(s) de ignição substituída(s)/reaprendida(s);1512;Sistema de Escape;Crítica;4 horas
Kia;Encore;2016;Suspenso com rudos;Circuito do ventilador com defeito impedindo que o ventilador esfrie o motor;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;2216;Freios;Média;1 dia
Infiniti;Infiniti FX35;2017;O motor est funcionando com pouca potncia.;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Reparo na transmisso;863;Sistema de Arrefecimento;Crítica;1 dia
Audi;Encore;2016;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Substituio do compressor de ar;1073;Freios;Crítica;1 dia
Infiniti;Accord;2015;Sem manivela  No inicia;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Alternador substitudo/reparado  Fiao do alternador reparada/substituda/trocada  Caixa de fusveis auxiliar da bateria substituda/reparada/apertada;1818;Suspensão;Crítica;1 dia
Lexus;XJ 3.0;2016;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;1218;Sistema de Escape;Média;2 horas
Mercedes;RLX;2019;Ar condicionado no est gelando;Tubo de escape com vazamento  sensor de oxignio com defeito.;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;1218;Transmissão;Média;4 horas
Ford;Silverado;2016;Transmisso com reduo de marcha intermitente em velocidades de rodovia;Desgaste nas pastilhas de freio;Substituio do sensor de oxignio;2091;Sistema de Escape;Alta;1 dia
Subaru;Sierra;2012;Sem energia, bateria descarregada;Falha na operao de carga parcial da vlvula de ventilao do crter.;Ncleo do aquecedor substitudo/limpo/consertado/sangrado  Procedimento de lavagem do sistema de arrefecimento;1762;Motor;Média;1 dia
Chevrolet;XC60;2016;Cdigo de advertncia de falha de ignio do motor P0352;Lista de componentes eltricos mestre;Mdulo de controle de transmisso (TCM) substitudo/reparado/apertado/ajustado;492;Freios;Média;1 dia
BMW;Accord;2017;Bateria no est sendo carregada pelo alternador.;Bobina de ignição com falha;Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;1103;Sistema de Arrefecimento;Média;1 dia
GMC;F-150;2010;Transmisso com falha;Mdulo de controle de transmisso (TCM) e/ou chicote eltrico;Substituio do sensor de airbags;1209;Elétrico;Média;1 semana
Kia;Wrangler;2015;Baixo consumo de energia;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);903;Direção;Crítica;4 horas
Subaru;Altima;2020;Sem energia, bateria descarregada;Tubo de escape com vazamento  sensor de oxignio com defeito.;Bobina(s) de ignição substituída(s)/reparada(s)  Bobina(s) de ignição substituída(s) e vela(s) de ignição substituída(s)/reaprendida(s);1784;Sistema de Arrefecimento;Crítica;2 dias
Volvo;X3;2012;Indicador de nvel de combustvel irregular, medidor de combustvel no funciona;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Alternador substitudo/reparado  Fiao do alternador reparada/substituda/trocada  Caixa de fusveis auxiliar da bateria substituda/reparada/apertada;1856;Transmissão;Média;1 dia
Acura;Sierra;2021;Sem aquecimento;Lista de componentes eltricos mestre;Ncleo do aquecedor substitudo/limpo/consertado/sangrado  Procedimento de lavagem do sistema de arrefecimento;1389;Elétrico;Média;3 dias
Infiniti;Infiniti FX35;2010;Falha no sistema de airbags;Lista de componentes eltricos mestre;Troca dos amortecedores;464;Motor;Crítica;4 horas
Volkswagen;X3;2017;Bateria descarregada;Falha no conversor de torque;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;630;Sistema de Escape;Média;1 dia
Infiniti;3;2015;Sem energia, bateria descarregada;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Mdulo de controle de transmisso (TCM) substitudo/reparado/apertado/ajustado;1149;Transmissão;Crítica;4 horas
Audi;F-150;2018;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Amortecedores desgastados;Limpeza do radiador;1560;Sistema de Escape;Crítica;3 dias
Subaru;Encore;2016;Sem aquecimento;Passagens de lquido de arrefecimento obstrudas  Termostato de lquido de arrefecimento com defeito  Lquido de arrefecimento do motor contaminado  Ncleo do aquecedor obstrudo  Bomba de gua com defeito;Substituio do sensor de airbags;903;Elétrico;Média;1 semana
Acura;F-150;2016;Ar condicionado no resfria;Compressor de ar condicionado (A/C);Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;1170;Sistema de Escape;Média;2 dias
Audi;Camry;2016;Freios falhando;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Substituir sensor de posio do virabrequim (CKP)  Substituir/programar chave imobilizadora  Substituir correia dentada;1589;Direção;Média;4 horas
Chrysler;Wrangler;2021;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Falha no sensor de airbags;Fluido de transmisso automtica substitudo/lavado;305;Motor;Crítica;1 dia
Cadillac;Cruze;2010;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Procedimento de reinicializao do lembrete de manuteno somente para informaes;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;787;Direção;Média;2 dias
Jaguar;Escalade;2016;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Vlvula de ventilao do crter de operao de carga parcial substituda  Vlvula de controle de ventilao do crter reparada/substituda  Tampa da vlvula substituda/resselada  Sistema de ventilao positiva do crter (PCV) reparado/substitudo.;1080;Direção;Crítica;4 horas
Volkswagen;Wrangler;2012;Cdigo de advertncia de falha de ignio do motor P0352;Fluido de transmisso automtica  Bobina(s) de ignio  Vela(s) de ignio  Pistes do balancim de controle de elevao de tempo varivel (VTEC)  Molas do balancim de controle de elevao de tempo varivel (VTEC);Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;1749;Direção;Média;3 dias
Mazda;X3;2016;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Amortecedores desgastados;Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;2497;Direção;Média;3 dias
Acura;Camry;2016;Freios falhando;Falha no conversor de torque;Substituio do sensor de oxignio;1830;Suspensão;Média;1 semana
Infiniti;Altima;2015;Suspenso com rudos;Solenide de purga do canister  Conectores de mangueira de borracha evaporativa  Conjunto do monitor de integridade do sistema evaporativo (ESIM)  Tampa do bocal de abastecimento de combustvel  Tanque de combustvel  Gargalo do bocal de abastecimento do tanque de combustvel;Substitudos/reposicionados ambos os sensores de nvel de combustvel, substitudo conjunto de bomba de combustvel/unidade de envio;1749;Elétrico;Média;1 dia
Volvo;XC60;2017;Motor superaquecendo;Lista de componentes eltricos mestre;Bobina(s) de ignição substituída(s)/reparada(s)  Bobina(s) de ignição substituída(s) e vela(s) de ignição substituída(s)/reaprendida(s);2497;Sistema de Arrefecimento;Crítica;4 horas
Volkswagen;F-150;2012;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Passagens de lquido de arrefecimento obstrudas  Termostato de lquido de arrefecimento com defeito  Lquido de arrefecimento do motor contaminado  Ncleo do aquecedor obstrudo  Bomba de gua com defeito;Substituio do sensor de airbags;1162;Freios;Alta;1 dia
Cadillac;ES350;2016;Cdigo de advertncia de falha de ignio do motor P0352;Mdulo de controle de transmisso (TCM) e/ou chicote eltrico;Troca da bomba da direo;1025;Sistema de Escape;Crítica;2 dias
Subaru;A3 Quattro;2020;Cdigo de advertncia P2096.;Bobina de ignio com falha;Limpeza do radiador;1912;Elétrico;Média;4 horas
BMW;3;2016;Ar condicionado não está gelando;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;1843;Suspensão;Crítica;4 horas
Acura;Camry;2021;Cmbio travado;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Sensor de relao ar/combustvel (A/F) substitudo/apertado  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 1 (B1S1)  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 2 (B1S2);1103;Suspensão;Média;1 dia
Ford;Infiniti FX35;2021;Suspenso com rudos;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Alternador substitudo/reparado  Fiao do alternador reparada/substituda/trocada  Caixa de fusveis auxiliar da bateria substituda/reparada/apertada;1764;Transmissão;Média;1 dia
Lexus;Cruze;2016;Sem partida  sem fasca;Falha na operao de carga parcial da vlvula de ventilao do crter.;Substituiu o motor de arranque ou consertou a emenda J308;1949;Elétrico;Alta;4 horas
Jeep;A4;2019;Sem partida  sem fasca;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Alternador substitudo/reparado  Fiao do alternador reparada/substituda/trocada  Caixa de fusveis auxiliar da bateria substituda/reparada/apertada;1041;Freios;Crítica;4 horas
Honda;X3;2010;Sem partida  sem fasca;Compressor de ar condicionado (A/C);Troca das pastilhas de freio;1695;Sistema de Escape;Média;4 horas
Mitsubishi;Escalade;2016;Superaquecimento do motor;Falha no sensor de airbags;Ncleo do aquecedor substitudo/limpo/consertado/sangrado  Procedimento de lavagem do sistema de arrefecimento;1162;Sistema de Arrefecimento;Média;2 dias
Chevrolet;A4;2020;Suspenso com rudos;Motor do atuador da porta de mistura  Eixo da porta de mistura  Fluxo do lquido de arrefecimento  Termostato do lquido de arrefecimento do motor  Ncleo do aquecedor  Cabea de controle do ar condicionado de ventilao do aquecedor (HVAC);Substitudos/reposicionados ambos os sensores de nvel de combustvel, substitudo conjunto de bomba de combustvel/unidade de envio;1589;Sistema de Arrefecimento;Média;1 dia
Kia;Focus;2019;Falha no sistema de airbags;Falha na caixa de transmisso;Vlvula de ventilao do crter de operao de carga parcial substituda  Vlvula de controle de ventilao do crter reparada/substituda  Tampa da vlvula substituda/resselada  Sistema de ventilao positiva do crter (PCV) reparado/substitudo.;2400;Sistema de Arrefecimento;Média;1 dia
Acura;A3 Quattro;2021;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Troca da bateria;2109;Suspensão;Média;2 dias
Lexus;Silverado;2021;Cdigo de advertncia de falha de ignio do motor P0352;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);1382;Sistema de Arrefecimento;Crítica;4 horas
